S No.,Title,Decisions,Words
2709,Steps taken by management paying off for Tata Sponge: Dipan Mehta,"{""Tata Sponge"": ""positive""}",11
5032,"Euro on defensive after ECB bond buying report, yen soft","{""yen"": ""negative"", ""Euro"": ""neutral""}",10
6515,"Gunit Chadha, Deutsche Bank India CEO to move as co-head Asia","{""Deutsche Bank India"": ""neutral""}",11
4663,"Won't get a 2008-like opportunity where everything was so cheap: Nilesh Shah, Axis Capital","{""Axis Capital"": ""neutral""}",14
4022,Kalindee Rail slumps 10% after board okays merger with Texmaco,"{""Kalindee Rail"": ""negative"", ""Texmaco"": ""neutral""}",10
1855,Jefferies expects upside potential for Ashok Leyland,"{""Ashok Leyland"": ""positive""}",7
10139,USFDA becoming dreaded word in Dalal Street; pharma companies need to keep Street in the loop,"{""pharma companies"": ""negative"", ""USFDA"": ""neutral""}",16
2873,Oriental Bank of Commerce Q4 Net rises marginally to Rs 310 crore,"{""Oriental Bank of Commerce"": ""positive""}",12
3031,Oriental Bank of Commerce Q1 net profit rises 3% to Rs 365 crore,"{""Oriental Bank of Commerce"": ""positive""}",13
9398,Carborundum Universal Q1 net down 25% at Rs 28.78 crore,"{""Carborundum Universal"": ""negative""}",10
1646,"Markets hit all-time high levels, profit-booking likely now","{""Markets"": ""positive""}",8
3418,Industrial oil prices drop on weak demand,"{""Industrial oil"": ""negative""}",7
3477,Europe shares dip on report of stress-test failures,"{""Europe shares"": ""negative""}",8
10276,"Important to go beyond Nifty and Sensex: Arindam Ghosh, Blackridge Capital Advisors","{""Nifty"": ""neutral"", ""Sensex"": ""neutral"", ""Blackridge Capital Advisors"": ""neutral""}",12
1793,Germany's DAX outperforms European shares after strong data,"{""DAX"": ""positive"", ""European shares"": ""negative""}",8
3798,Oracle Financial Services plunges on dispute with Irish customer,"{""Oracle Financial Services"": ""negative""}",9
3369,MOIL prospects dim on falling ore prices,"{""MOIL"": ""negative"", ""ore"": ""negative""}",7
7197,62 smallcap stocks doubled investor wealth in 2015,"{""smallcap stocks"": ""positive""}",8
10374,"Select farm equipment, agri stocks available at attractive valuations: Deven Choksey","{""farm equipment"": ""positive"", ""agri stocks"": ""positive""}",11
5110,"Prefer private banking, midcap IT, pharma stocks:  Nitin Raheja","{""private banking"": ""positive"", ""midcap IT"": ""positive"", ""pharma stocks"": ""positive""}",10
6025,Euro remains range-bound against dollar ahead of ECB meeting,"{""Euro"": ""neutral"", ""dollar"": ""neutral""}",9
8796,Bharti Airtel Africa Q1 net loss widens,"{""Bharti Airtel Africa"": ""negative""}",7
10724,"Asian shares edge higher, oil nurses losses","{""Asian shares"": ""positive"", ""oil"": ""negative""}",7
127,"Sebi, exchanges to tighten grip on speculative stocks","{""Sebi"": ""neutral""}",8
5960,Airtel to raise 250 million more from bond sale,"{""Airtel"": ""neutral""}",9
3877,Transglobal sells Kingfisher Airlines shares worth Rs 7.43 cr,"{""Kingfisher Airlines"": ""negative""}",9
4452,"Nissan to brief on abnormal deployment of Takata air bag, shares sink","{""Nissan"": ""negative""}",12
7148,Ranbaxy hits 52-week high on UBS upgrade,"{""Ranbaxy"": ""positive""}",7
3532,Castor seed prices drop in futures trade,"{""Castor seed"": ""negative""}",7
828,Did IGate's Board wrong its shareholders? Law firms are examining,"{""IGate"": ""neutral""}",10
7791,Egypt unrest may fuel rally in oil & gas stocks,"{""oil"": ""positive"", ""gas"": ""positive""}",10
985,"Seeing sector rotation, investors realigning portfolios: Sanjay Dutt, Quantum Securities","{""Quantum Securities"": ""neutral""}",10
7784,Dishman Pharma shares soar over 13% on robust Q1 results,"{""Dishman Pharma"": ""positive""}",10
2444,Steady track record to drive profit numbers for Shriram Transport,"{""Shriram Transport"": ""positive""}",10
8555,"Cadila Healthcare remains preferred pick in pharma space:  Hemang Jani, Sr VP, Sharekhan","{""Cadila Healthcare"": ""positive"", ""Sharekhan"": ""neutral""}",14
346,IiAS names Hetal Dalal as COO,"{""IiAS"": ""neutral""}",6
815,Cheap valuations of public sector banks: Buy or no buy?,"{""public sector banks"": ""neutral""}",10
6167,Sebi exempts Prozone promoter trust from making open offer,"{""Sebi"": ""neutral"", ""Prozone"": ""neutral""}",9
5780,Hexaware support seen at Rs 110-115: Mitesh Thacker,"{""Hexaware"": ""neutral""}",8
2117,Silver futures up Rs 193 aided by global cues,"{""Silver futures"": ""positive""}",9
794,Amara Raja posts 13% growth; market leader Exide slips 11%,"{""Amara Raja"": ""neutral"", ""Exide"": ""neutral""}",10
6899,Results primer: Investors want some guidance on how Infosys plans to use $5.4 billion cash reserve,"{""Infosys"": ""neutral""}",16
2675,RComm hits highest level since Jan 2011; rallies 20% since June,"{""RComm"": ""positive""}",11
95,Sebi partially lifts curbs on Shantivijay Jewels,"{""Sebi"": ""neutral"", ""Shantivijay Jewels"": ""neutral""}",7
4226,Hikal Q4 net down 66.8 per cent at Rs 3.07 crore,"{""Hikal"": ""negative""}",11
3757,Infotech Enterprises Q4 profit slides 23% in March quarter,"{""Infotech Enterprises"": ""negative""}",9
2892,Replacement demand for tyres to benefit the stocks going forward: Prateek Agarwal,"{""tyres"": ""positive""}",12
2372,"Optimistic on South-based sugar companies: G Chokkalingam, Centrum Wealth Management","{""South-based sugar companies"": ""positive"", ""Centrum Wealth Management"": ""neutral""}",10
10100,Share sales to meet holding norm set by Sebi; secondary market may face severe fund crunch,"{""Sebi"": ""neutral""}",16
3229,"Supply crunch, import curbs up Arecanut prices","{""Arecanut"": ""positive""}",7
7864,Jyothy Laboratories Q3 net up 19.95% at Rs 26.45 crore,"{""Jyothy Laboratories"": ""positive""}",10
6360,Nifty unlikely to get past the 7550-7560 mark: Ashwani Gujral,"{""Nifty"": ""neutral""}",10
9897,SELL Exide Industries Ltd with a target of Rs 113: Mitesh Thacker,"{""Exide Industries"": ""negative""}",12
7327,Petronet LNG to benefit post budget: Prabhudas Lilladher,"{""Petronet LNG"": ""positive"", ""Prabhudas Lilladher"": ""neutral""}",8
6029,"Expect Nifty to trade in 8,100-8,300 range: Sandeep Wagle","{""Nifty"": ""neutral""}",9
1866,Allahabad Bank Q2 net climbs 21%,"{""Allahabad Bank"": ""positive""}",6
4613,Stay away from JSW Steel till clarity on CBI mine inquiry: Deven Choksey,"{""JSW Steel"": ""negative""}",13
2646,Novartis India Q2 net rises over 600% to Rs 104 crore,"{""Novartis India"": ""positive""}",11
2244,ENIL's charts look healthy from short-medium term perspective: Deepak Mohoni,"{""ENIL"": ""positive""}",10
5374,VLCC files IPO papers with Sebi,"{""VLCC"": ""neutral"", ""Sebi"": ""neutral""}",6
2337,Mascot Powersys to expand nine-fold to 74 outlets; plans IPO,"{""Mascot Powersys"": ""neutral""}",10
951,"Prestige Estates Rs 1,200cr IPO subscribed 1.75 times till 2pm","{""Prestige Estates"": ""neutral""}",10
1121,Leo Puri likely to become CMD of UTI Asset Management Company,"{""UTI Asset Management Company"": ""neutral""}",11
2205,Cement stocks are likely to go up higher: Vijay Bhambwani,"{""Cement stocks"": ""positive""}",10
420,Dollar steady in Asia ahead of Fed minutes,"{""Dollar"": ""neutral""}",8
923,NIF may turn co-plaintiff in Modern India suit against NSEL,"{""NSEL"": ""negative"", ""NIF"": ""neutral"", ""Modern India"": ""neutral""}",10
9447,GMR Infrastructure Q1 net loss shrinks to Rs 429 crore,"{""GMR Infrastructure"": ""negative""}",10
8670,"Month on month sales numbers of auto sector have improved: Gaurang Shah, Geojit BNP Paribas Financial Services","{""auto sector"": ""positive"", ""Geojit BNP Paribas Financial Services"": ""neutral""}",17
5409,Oilseeds rule stable in listless trade,"{""Oilseeds"": ""neutral""}",6
5789,India Infoline Finance appoints Rajashree Nambiar as CEO,"{""India Infoline Finance"": ""neutral""}",8
5743,Economist Johan Zyl appointed to Shriram Capital board,"{""Shriram Capital"": ""neutral""}",8
7668,Symphony Q3 net up 35% at Rs 36.51 crore,"{""Symphony"": ""positive""}",9
5568,Leased line users get NSE fee waiver,"{""NSE"": ""neutral""}",7
8136,Kansai Nerolac rallies over 8% as Q1 net profit jumps 19.77%,"{""Kansai Nerolac"": ""positive""}",11
1203,Why US dollar has re-emerged as preferred currency for global investors,"{""US dollar"": ""neutral""}",11
5766,Former Airtel executive director Krish Shankar joins Philips,"{""Airtel"": ""neutral"", ""Philips"": ""neutral""}",8
8390,"Private sector banks poised to outdo PSU peers: Mayuresh Joshi, Angel Broking","{""Private sector banks"": ""positive"", ""PSU"": ""negative"", ""Angel Broking"": ""neutral""}",12
1971,Emami gains 1.4% as it enters male deodorant space,"{""Emami"": ""positive""}",9
4019,Jubilant Foodworks Q1 net down 18% at Rs 27.72 crore,"{""Jubilant Foodworks"": ""negative""}",10
3688,"Copper futures fall 0.08% on Asian cues, weak demand","{""Copper futures"": ""negative""}",9
1998,Gulshan Polyols surges 20% after Reliance fund buys 6.7%,"{""Gulshan Polyols"": ""positive"", ""Reliance"": ""neutral""}",9
4034,"Modi loses, Sensex cracks? Yes, by about 3,000 points: Experts","{""Sensex"": ""negative""}",10
1249,Indian Energy Exchange in talks with FTIL for buying out technology solutions,"{""Indian Energy Exchange"": ""neutral"", ""FTIL"": ""neutral""}",12
2193,Boost in US's macro-economic situation may trigger Wipro's revenue growth,"{""Wipro"": ""positive""}",10
2713,"Surge in government spending to pump up infrastructure, related companies: Analysts","{""infrastructure"": ""positive""}",11
9185,BSE writes to Sebi on NSE 'unfair' trade practices,"{""NSE"": ""negative"", ""Sebi"": ""neutral"", ""BSE"": ""neutral""}",9
2191,BofA-ML's three positives for Indian markets; recommends 'buy' on dips,"{""BofA-ML"": ""neutral""}",10
4671,EIL down over 11% as Q2 net profit slips by 47% to Rs 58.78 crore,"{""EIL"": ""negative""}",15
5143,"TCS, Wipro, Infosys top picks among IT stocks: Mehraboon Irani","{""TCS"": ""positive"", ""Wipro"": ""positive"", ""Infosys"": ""positive""}",10
5985,BNP Paribas launches first equity index linked green bond,"{""BNP Paribas"": ""neutral""}",9
6566,Now open: Narayana Hrudayalaya IPO likely to cross the line today,"{""Narayana Hrudayalaya"": ""neutral""}",11
7805,Force Motors' promoters increase stake as row with Bajajs ends,"{""Force Motors"": ""positive"", ""Bajajs"": ""neutral""}",10
6944,Investors cheer Portuguese bank rescue,"{""Portuguese"": ""positive""}",5
9511,Natural rubber: Dull demand unlikely to help upturn in prices,"{""Natural rubber"": ""negative""}",10
2137,Telcos likely to post higher margins in Q4: Barclays,"{""Telcos"": ""positive"", ""Barclays"": ""neutral""}",9
1066,Eros International appoints Ricky Ghai as the CEO of Eros Digital,"{""Eros International"": ""neutral"", ""Eros Digital"": ""neutral""}",11
601,"IOC investor roadshows in Singapore, Hong Kong this week","{""IOC"": ""neutral""}",9
4228,HT Media Q4 consolidated net down 13.07% at Rs 34.84 crore,"{""HT Media"": ""negative""}",11
7578,MMTC surges after company sees turnaround in Q2 earnings,"{""MMTC"": ""positive""}",9
78,UK data gives battered sterling some respite,"{""sterling"": ""neutral""}",7
7547,Jeera futures surge 1.38 per cent on strong demand,"{""Jeera"": ""positive""}",9
2899,"SBI scales above Rs 2,000 levels on $1 bn fund raising plans","{""SBI"": ""positive""}",12
4821,"General Atlantic in talks to buy stakes in Just Dial, Info Edge: Sources","{""Just Dial"": ""positive"", ""Info Edge"": ""positive"", ""General Atlantic"": ""neutral""}",13
9507,"Monsoon fears, tight NPA norms weigh on Shriram Transport Finance","{""Shriram Transport Finance"": ""negative""}",10
10009,"Swiss franc drops to 2-week low on talk of SNB hand, informal band","{""Swiss franc"": ""negative"", ""SNB"": ""neutral""}",13
6414,Taj Group names P V Ramana Murthy as Global Head-HR,"{""Taj Group"": ""neutral""}",10
9445,Global weakness turned markets towards a flat day: Ashwani Gujral,"{""markets"": ""negative""}",10
9065,More exits from Ranbaxy Laboratorie top management team,"{""Ranbaxy Laboratorie"": ""negative""}",8
8008,"Wheat futures up 0.80 per cent on export, spot demand","{""Wheat"": ""positive""}",10
5469,Broking firms revive expansion plans,"{""Broking firms"": ""neutral""}",5
5952,Why investors should not eagerly await HUL results,"{""HUL"": ""neutral""}",8
3392,Lead futures extend losses on sluggish demand,"{""Lead futures"": ""negative""}",7
5416,Networkplays CEO Ampreet Singh quits,"{""Networkplays"": ""neutral""}",5
2561,"Expect pharma splendid performance to continue: Dhiraj Sachdev, HSBC AM India","{""pharma"": ""positive"", ""HSBC AM India"": ""neutral""}",11
10636,"Brokers' Call: ONGC, DRL, Cipla and Coal India","{""ONGC"": ""positive"", ""DRL"": ""positive"", ""Cipla"": ""positive"", ""Coal India"": ""positive""}",8
8163,NFL share sale subscribed 1.55 times; govt gets Rs 101 cr,"{""NFL"": ""positive""}",11
2636,"Mundra Port looking very attractive: Deven Choksey, MD, KR Choksey Securities","{""Mundra Port"": ""positive"", ""KR Choksey Securities"": ""neutral""}",11
5257,"Gold, silver up on scattered buying, global cues","{""Gold"": ""positive"", ""silver"": ""positive""}",8
3531,Caustic soda prices decline on reduced offtake,"{""Caustic soda"": ""negative""}",7
8568,"Forget Iraq woes, Sensex can still rally another 2,000 points ahead of Budget 2014","{""Sensex"": ""positive""}",14
1909,ADF Foods gains 8% after domestic HNIs buy stake,"{""ADF Foods"": ""positive""}",9
236,Kuldip Singh named new CMD of MTNL,"{""MTNL"": ""neutral""}",7
1605,Driving season boosts oil,"{""oil"": ""positive""}",4
7985,TajGVK Hotels & Resorts Q3 net up at 12.91 crore,"{""TajGVK Hotels & Resorts"": ""positive""}",10
9311,"Rolta India slips 6%, cuts losses after Deutsche upgrade","{""Rolta India"": ""negative"", ""Deutsche"": ""neutral""}",9
3491,Dollar turns defensive on retail sales disappointment,"{""Dollar"": ""negative"", ""retail"": ""negative""}",7
1995,"Gold holds above $1,300, focus on Fed policy meeting","{""Gold"": ""positive""}",9
2825,Infinite Computer FY 11 consolidated net up 35% to Rs 107 crore,"{""Infinite Computer"": ""positive""}",12
9990,Profit booking by institutions may have triggered steep fall in Vakrangee: Ambareesh Baliga.,"{""Vakrangee"": ""negative""}",13
1343,"Just Dial has been a proxy to e-commerce play: Deepak Shenoy, Capital Mind","{""Just Dial"": ""neutral"", ""Capital Mind"": ""neutral""}",13
8513,Option bets soar as Nifty seen at 5800 next month on reform push,"{""Nifty"": ""positive""}",13
1620,"Nalco net jumps 31% to Rs 1,069 crore","{""Nalco"": ""positive""}",8
5288,"ACC, Ambuja Cement gain on cement price hike","{""ACC"": ""positive"", ""Ambuja Cement"": ""positive""}",8
2061,NSE's stock option strategy pays off as volumes soar,"{""NSE"": ""positive""}",9
10703,"Copper, zinc remain weak on global cues","{""Copper"": ""negative"", ""zinc"": ""negative""}",7
2220,Colgate-Palmolive Q2 net profit up 11.8% at Rs 100 cr,"{""Colgate-Palmolive"": ""positive""}",10
6039,Former Randstad India MD E Balaji joins TVS Logistics,"{""Randstad India"": ""neutral"", ""TVS Logistics"": ""neutral""}",9
261,"April 02, 2014: Mecklai Financial report on rupee","{""Mecklai Financial"": ""neutral""}",8
10077,From 30K to 27K; top 5 reasons why there is more pain ahead for Sensex,"{""Sensex"": ""negative""}",15
9094,Recommend to be cautious with NBCC: Jagdish Malkani,"{""NBCC"": ""negative""}",8
3745,Hefty fine for 'insider trade' looms over Reliance Industries,"{""Reliance Industries"": ""negative""}",9
2027,JNPT's October-March Net up 14% at Rs 312 crore,"{""JNPT"": ""positive""}",9
6989,Guarseed futures gain on speculative buying,"{""Guarseed"": ""positive""}",6
4235,"Indian markets may follow world trend, open on a jittery note","{""Indian markets"": ""negative""}",11
1918,"Aussie dollar bears emboldened by China data, others calmer","{""Aussie dollar"": ""positive""}",9
1829,BSE midcap index hits all-time high,"{""BSE midcap index"": ""positive""}",6
9766,Sell TVS Motors with stop loss of Rs 251: Sandeep Wagle,"{""TVS Motors"": ""negative""}",11
6234,Atul Auto will find resistance around Rs 128-130: Ashwani Gujral,"{""Atul Auto"": ""neutral""}",10
10042,Fight against black money: Sebi bars 59 entities including HNIs for executing fictitious trades,"{""Sebi"": ""neutral""}",14
6284,FTIL to 'highlight correct facts' of MCX-SX buyback to CBI,"{""FTIL"": ""neutral"", ""MCX-SX"": ""neutral"", ""CBI"": ""neutral""}",10
4209,Future prices of agriculture commodities tumble on rumours of trade ban,"{""agriculture commodities"": ""negative""}",11
225,NHPC: Timely completion of projects crucial for company,"{""NHPC"": ""neutral""}",8
8916,Selling pressure on Tata Steel: Seshadri Bharathan,"{""Tata Steel"": ""negative""}",7
9334,Shanghai Composite Index reverses gains after weak manufacturing data,"{""Shanghai Composite Index"": ""negative""}",9
6470,"Cheaper inputs help, but weak demand a drag on Asian Paints","{""Asian Paints"": ""neutral""}",11
10127,"Aban and Reliance can be picked up at current levels: Sandeep Wagle, APTART Technical Advisory Services","{""Aban"": ""positive"", ""Reliance"": ""positive"", ""APTART Technical Advisory Services"": ""neutral""}",16
847,Five things to watch out for in TCS Q1 results,"{""TCS"": ""neutral""}",10
4290,Refined soya oil futures fall 0.87 per cent on weak demand,"{""Refined soya oil futures"": ""negative""}",11
5561,Investors hopeful of government reviving tax-free bonds,"{""tax-free bonds"": ""neutral""}",7
2552,DHFL profit rises 18% at Rs 152 crore in July-Sept quarter,"{""DHFL"": ""positive""}",11
118,Sebi grants new status to three clearing corporations,"{""Sebi"": ""neutral""}",8
8838,Five reasons why Sensex fell 360 points,"{""Sensex"": ""negative""}",7
5967,Are you prepared for a bear market? Find out,"{""market"": ""negative""}",9
8196,"Reliance Communications raises Rs 6,100 crore via QIP to reduce debt","{""Reliance Communications"": ""positive""}",11
8660,Rush for higher returns before rate cut: NTPC tax-free bonds oversubscribed 10 times on Day 1,"{""NTPC"": ""positive""}",16
7490,Exchange ratio of 2:17 positive for Tech Mahindra: Analysts,"{""Tech Mahindra"": ""positive""}",9
6,Infosys: Will the strong volume growth sustain?,"{""Infosys"": ""neutral""}",7
5343,"Rice, soya pick up on better rains","{""Rice"": ""positive"", ""soya"": ""positive""}",7
9112,SKS Microfinance scrip tanks 5 pc on BSE,"{""SKS Microfinance"": ""negative"", ""BSE"": ""neutral""}",8
4325,Sensex loses momentum ahead of F&O expiry; top 20 trading ideas,"{""Sensex"": ""negative""}",11
1064,EID Parry December quarter consolidated net profit at Rs 15.15 crore,"{""EID Parry"": ""neutral""}",11
2591,"High on Modi, Gujarat-based stocks return upto 170%; top 10 bets","{""Gujarat-based stocks"": ""positive""}",11
8435,Unichem Lab Q1 net up 9 per cent at Rs 36 crore,"{""Unichem Lab"": ""positive""}",12
9353,Telcos pare gains as SC rejects license extension plea,"{""Telcos"": ""negative""}",9
3736,"Gold below $1,300 on stronger dollar, interest rate fears","{""dollar"": ""positive"", ""Gold"": ""negative""}",9
3518,Coal India down 2.5% on disappointing earnings,"{""Coal India"": ""negative""}",7
6987,"Deposit, credit growth lift HDFC Bank","{""HDFC Bank"": ""positive""}",6
6768,38% of global investors see rupee in 65-70 range in 2015: BofA-ML survey,"{""rupee"": ""neutral"", ""BofA-ML"": ""neutral""}",13
5623,RNRL is a clear sell: Seshadri Bharathan,"{""RNRL"": ""negative""}",7
1606,Noida Toll Bridge stocks gain on value buying,"{""Noida Toll Bridge"": ""positive""}",8
1734,Gold rises 0.36% on global cues,"{""Gold"": ""positive""}",6
10051,"NALCO net dips 21 pc to Rs 1,069 crore in FY12 on lower demand","{""NALCO"": ""negative""}",14
9505,Mining stocks down as iron ore hits 5-1/2 year low,"{""Mining stocks"": ""negative""}",10
3813,Pre-market: Nifty seen opening lower; may retest 6650 levels,"{""Nifty"": ""negative""}",9
10356,Mutual funds favour IT stocks like Infosys over pharma and auto,"{""Infosys"": ""positive"", ""pharma"": ""neutral"", ""auto"": ""neutral""}",11
1762,Eveready outsmarts market indices,"{""Eveready"": ""positive""}",4
5402,Prabhat Dairy to list shares tomorrow,"{""Prabhat Dairy"": ""neutral""}",6
2740,"WestBridge to buy 1.74% SKS stake, to emerge second largest holder","{""WestBridge"": ""positive""}",11
2473,"V-Mart attractive bet in retail space: Vinay Khattar, Edelweiss Financial","{""V-Mart"": ""positive"", ""Edelweiss Financial"": ""neutral""}",10
6739,"Rural Electrification Corporation to raise up to Rs 30,000 cr via debentures","{""Rural Electrification Corporation"": ""neutral""}",12
6892,"Core business performance, Reliance Jio launch to set direction for RIL stock going ahead: Amit Khurana","{""Reliance Jio"": ""neutral"", ""RIL"": ""neutral""}",16
7944,"Rate-sensitive stocks could do well post elections: Jyotivardhan Jaipuria, BofA-ML","{""BofA-ML"": ""neutral""}",10
9686,Indian Hotels Company Q1 net loss widens to Rs 34.82 cr,"{""Indian Hotels Company"": ""negative""}",11
4207,Fortis Q2 net loss at Rs 58 crore; CEO resignation accepted,"{""Fortis"": ""neutral""}",11
6372,"Participatory notes: A sensitive topic for govt, SEBI and investors","{""SEBI"": ""neutral""}",10
9362,US stocks: Wall Street ends down following UPS outlook,"{""UPS"": ""negative""}",9
233,Nasdaq eyes running dark pools for banks: WSJ,"{""Nasdaq"": ""neutral"", ""WSJ"": ""neutral""}",8
8259,Volkswagen stocks rise 4% over better than expected third quarter earnings,"{""Volkswagen"": ""positive""}",11
7562,Life Insurance Corporation increases stake in BHEL to 9%,"{""Life Insurance Corporation"": ""positive"", ""BHEL"": ""neutral""}",9
9796,3 promoters sell 54 lakh DB Corp shares for Rs 159.57 crore,"{""DB Corp"": ""negative""}",12
6169,SEBI may seek litigation information from companies launching IPOs,"{""SEBI"": ""neutral""}",9
3597,Almond declines on reduced offtake,"{""Almond"": ""negative""}",5
6289,German classifieds group Scout24 says to list shares this year,"{""Scout24"": ""neutral""}",10
4633,"Falling rupee to shave Rs 4,000 crore off Nifty companies in December quarter: Crisil","{""rupee"": ""negative"", ""Nifty"": ""negative""}",14
126,Sebi to study surveillance systems in overseas markets,"{""Sebi"": ""neutral""}",8
7642,Shares flirt with record highs on ECB easing bets,"{""ECB"": ""positive""}",9
6230,Akhil Puri joins KKR Capstone in Asia as India Director,"{""KKR Capstone"": ""neutral"", ""Asia"": ""neutral""}",10
1297,Today's bet for F&O: Strong support seen at 5180 level for Nifty,"{""Nifty"": ""neutral""}",12
1977,Europe rebounds as Ukraine rebels hand over black boxes,"{""Europe"": ""positive""}",9
10200,"BSE, NSE to move 25 companies to restricted trade segment from October 7","{""BSE"": ""neutral"", ""NSE"": ""neutral""}",13
10151,"Need to be patient while investing in oil and gas stocks: IV Subramaniam, Quantum AMC","{""oil and gas stocks"": ""positive"", ""Quantum AMC"": ""neutral""}",15
5751,Euro steadies after slumping on dovish Draghi comments,"{""Euro"": ""neutral""}",8
8153,Mirc Electronics Q4 net up 87 pc at Rs 9.7 cr,"{""Mirc Electronics"": ""positive""}",11
3087,"FTIL sells stake in NBHC for Rs 300 crore, say sources; stock surges 14%","{""FTIL"": ""positive"", ""NBHC"": ""neutral""}",14
9981,MphasiS Q1 net profit declines 2 per cent  to Rs 180.6 crore,"{""MphasiS"": ""negative""}",13
6883,"Shriram Transport Finance to raise Rs 1k crore via NCDs to meet lending, redemption requirements","{""Shriram Transport Finance"": ""neutral""}",15
10013,Vijaya Bank's third  quarter  net profit  plummets 91 per cent,"{""Vijaya Bank"": ""negative""}",13
7674,TCS continues to remain most favoured pick: Sudip Bandyopadhyay,"{""TCS"": ""positive""}",9
3346,Nifty's market cap way behind global indices,"{""Nifty"": ""negative""}",7
8173,Oil's 45% rebound could be testing nerves of markets and policymakers,"{""Oil"": ""positive""}",11
10135,"Sales growth of top 10 listed consumer cos like HUL, ITC, Dabur halves over year-ago period","{""HUL"": ""negative"", ""ITC"": ""negative"", ""Dabur"": ""negative""}",16
5871,Race hots up for U K Sinha's successor,"{""Race"": ""neutral""}",8
6507,"FTIL sells SMX for $150 mn; clear dues, say NSEL investors","{""FTIL"": ""neutral"", ""NSEL"": ""neutral""}",11
2798,Divis Lab  can climb to levels closer to 1160: Prakash Gaba,"{""Divis Lab"": ""positive""}",12
919,Near term outlook remains muted for cement space: Amit Khurana,"{""cement space"": ""neutral""}",10
1647,Markets to remain in an uptrend: Mitesh Thacker,"{""Markets"": ""positive""}",8
5123,"Sensex in red; technology, auto and realty lead the fall","{""Sensex"": ""negative"", ""technology"": ""negative"", ""auto"": ""negative"", ""realty"": ""negative""}",10
5127,"Sensex rangebound, Nifty holds 7300; top ten stocks in focus","{""Sensex"": ""neutral"", ""Nifty"": ""neutral""}",10
4622,UltraTech Jun qtr net dips 14% to Rs 673 crore on lower sales,"{""UltraTech"": ""negative""}",13
6810,Max Life posts PAT at Rs 326 cr for Apr-Dec period in FY14,"{""Max Life"": ""neutral""}",13
365,KK Maheshwari appointed as Grasim MD,"{""Grasim"": ""neutral""}",6
2126,Suneeta Reddy promoted as Apollo's Joint MD; stock up,"{""Apollo"": ""positive""}",9
8151,Media report on DVR led Tata Motors to surge: Jagdish Malkani,"{""Tata Motors"": ""positive"", ""DVR"": ""neutral""}",11
8718,Pearson slump drags Britain's FTSE lower,"{""Pearson"": ""negative""}",6
56,Tokyo stocks flat by the break,"{""Tokyo stocks"": ""neutral""}",6
639,Nifty might retest earlier high of 7800: Mitesh Thacker,"{""Nifty"": ""neutral""}",9
303,US Generic launches are key to Lupin growth,"{""Lupin"": ""neutral""}",8
