S No.,Title,Decisions,Words
6220,What should investors expect from Reliance Industries' 40th AGM?,"{""Reliance Industries"": ""neutral""}",9
5526,Executive pay should reflect company performance: Sebi,"{""Sebi"": ""neutral""}",7
772,Waiting for Nifty to move above 5570-5575: Mitesh Thacker,"{""Nifty"": ""neutral""}",9
6684,Geojit BNP Paribas net profit for 2012-13 stands at Rs 82 crore,"{""Geojit BNP Paribas"": ""neutral""}",12
2396,Pre-market: Nifty seen opening higher on US Federal Reserve outlook,"{""Nifty"": ""positive""}",10
1479,United Bank raises $350 million under MTN programme,"{""United Bank"": ""positive""}",8
1847,Expecting Bank Nifty to touch 11900-12000: Ashwani Gujral,"{""Bank Nifty"": ""positive""}",8
9800,"AAP may decimate Congress, no big moves seen on Sensex: Credit Suisse","{""Sensex"": ""negative"", ""Credit Suisse"": ""neutral""}",12
4275,"Politics holds Indian market back slightly, says Aberdeen AMC's Martin Gilbert","{""Aberdeen AMC"": ""neutral""}",11
3741,Greeks brace for stock market carnage after five-week shutdown,"{""stock market"": ""negative""}",9
4601,Sahara chief Subrata Roy should be punished for contempt: SEBI to Supreme Court,"{""Sahara"": ""negative"", ""SEBI"": ""neutral""}",13
10615,"Parag Milk Foods, Maini Precision Products file for IPO","{""Parag Milk Foods"": ""neutral"", ""Maini"": ""neutral""}",9
1574,Ramco Systems climbs over 14% on order win,"{""Ramco Systems"": ""positive""}",8
7987,T-Bill rates spurt as investors link price to term repo,"{""T-Bill"": ""positive""}",10
6677,Farmer bodies likely to lock horns with sugar mill owners in Maharashtra,"{""sugar mill"": ""neutral""}",12
6376,PR Ravimohan appointed RBI nominee director of Bank of India,"{""RBI"": ""neutral"", ""Bank of India"": ""neutral""}",10
406,Euro is not too strong: Luc Coene,"{""Euro"": ""neutral""}",7
10262,"BNP Paribas upgrades India to 'overweight', sees Sensex hitting 24k by end-2014","{""Sensex"": ""positive"", ""BNP Paribas"": ""neutral""}",12
4916,S.Korean shares rise as investors look past weak China PMIs; won flat,"{""S.Korean shares"": ""positive"", ""won"": ""neutral""}",12
2074,Polaris Financial Technology shares surge 20% on spin-off plans,"{""Polaris Financial Technology"": ""positive""}",9
4755,"Edelweiss, IIFL, Motilal Oswal, Geojit BNP churn out solid numbers; show driven by all segments","{""Edelweiss"": ""positive"", ""IIFL"": ""positive"", ""Motilal Oswal"": ""positive"", ""Geojit BNP"": ""positive""}",15
1897,Worst may be Over for FTIL and MCX,"{""FTIL"": ""neutral"", ""MCX"": ""neutral""}",8
9199,Clariant Chemicals slips; buyback value lower than market price,"{""Clariant Chemicals"": ""negative""}",9
6703,Kotak Mahindra Bank sees rupee range bound at 58-61 against US dollar,"{""Kotak Mahindra Bank"": ""neutral"", ""rupee"": ""neutral"", ""US dollar"": ""neutral""}",12
6318,"Jim Rogers may buy gold if price drops to $1,300","{""gold"": ""neutral""}",10
3660,BEML will go as low as 540: Ashwani Gujral,"{""BEML"": ""negative""}",9
6582,Rathin Basu appointed Country President of Alstom India & South Asia,"{""Alstom India & South Asia"": ""neutral""}",11
2380,Perfect Infraengineers becomes 32nd stock to list on NSE Emerge,"{""Perfect Infraengineers"": ""positive""}",10
1448,"SUUTI to sell 9% in Axis Bank via block trades, govt plans to mop up Rs 5,500-cr","{""SUUTI"": ""neutral"", ""Axis Bank"": ""neutral""}",17
7599,OIL October-quarter net up 4% at Rs 902.96 crore,"{""OIL"": ""positive""}",9
343,Two IIFL subsidiaries get investment adviser licence,"{""IIFL"": ""neutral""}",7
7469,Defence related companies rally as government notifies FDI hike,"{""Defence related companies"": ""positive""}",9
5128,"Sensex rangebound, Nifty reclaims 8100; TCS, Tech Mahindra top gainers","{""Nifty"": ""positive"", ""TCS"": ""positive"", ""Tech Mahindra"": ""positive"", ""Sensex"": ""neutral""}",10
3137,Environmental clearance for the Mundra SEZ a big relief for Adani Ports: P Phani Sekhar,"{""Adani Ports"": ""positive""}",15
2528,Calcutta High Court extends status quo on sale of HPL shares,"{""HPL"": ""neutral""}",11
728,Sentimental impact coal pricing is inevitable: P Phani Sekhar,"{""coal"": ""neutral""}",9
4578,"Investors should avoid power sector till the Lok Sabha elections: G Chokkalingam, Equinomics","{""power sector"": ""negative"", ""Equinomics"": ""neutral""}",13
977,Sebi notifies rules on launch of new mutual fund schemes,"{""Sebi"": ""neutral""}",10
9022,Gitanjali Gems to buy DIT Group; stock down,"{""Gitanjali Gems"": ""negative"", ""DIT Group"": ""neutral""}",8
5444,HSBC holds oil at $60,"{""HSBC"": ""neutral"", ""oil"": ""neutral""}",5
9723,"Nifty50 in no-trade zone, be stock-specific in the market: Sandeep Wagle","{""Nifty50"": ""negative""}",11
3517,Commexes' turnover dips 70 per cent,"{""Commexes"": ""negative""}",6
9571,Unitech plunges as CBI begins fresh probe in 2G case,"{""Unitech"": ""negative""}",10
8696,Sterling falls back after BoE minutes,"{""Sterling"": ""negative"", ""BoE"": ""neutral""}",6
7157,RPG Life Sciences net up 31 pc,"{""RPG Life Sciences"": ""positive""}",7
10401,Biotechs lift Wall Street; Dow back in black for 2014,"{""Biotechs"": ""positive"", ""Wall Street"": ""positive"", ""Dow"": ""negative""}",10
7852,Jagran Prakashan Q2 net up 10% at Rs 55.50 cr,"{""Jagran Prakashan"": ""positive""}",10
10525,"BSE, NSE among top five emerging market bourses: Sebi","{""BSE"": ""positive"", ""NSE"": ""positive"", ""Sebi"": ""neutral""}",9
3941,DGH to question RIL on falling KG output; stock falls,"{""RIL"": ""negative""}",10
1300,"UTI Mutual Fund appoints Suraj Kaeley as group president, sales & marketing","{""UTI Mutual Fund"": ""neutral""}",12
10502,"SKNL, Century Textile & Raymonds have pullback nature: Ashwani Gujral","{""SKNL"": ""negative"", ""Century Textile"": ""negative"", ""Raymonds"": ""negative""}",10
1349,"Once competitive pressure eases, get into telecom stocks for long term: Paras Adenwala","{""telecom stocks"": ""neutral""}",13
661,P Padmanabhan takes charge as MD Numaligarh Refinery Ltd,"{""Numaligarh Refinery Ltd"": ""neutral""}",9
5887,Sanjay Kapoor joins PVR Cinemas board as director,"{""PVR Cinemas"": ""neutral""}",8
1493,"TCS signals slowdown; brokerages remain unfazed, retain rating","{""TCS"": ""positive""}",8
10693,Rupee ends day at 59.27 against US dollar,"{""Rupee"": ""neutral""}",8
4590,"Over 1,000 entities under scanner as Sebi widens tax evasion, money laundering probe","{""Sebi"": ""neutral""}",13
7744,BlackRock ETF funds draw record $102.8 billion in new money,"{""BlackRock ETF"": ""positive""}",10
9174,BOC delisting plan fails as company misses buyout target,"{""BOC"": ""negative""}",9
5155,"Dow, S&P 500 end slightly lower after Fed minutes","{""Dow"": ""positive"", ""S&P 500"": ""positive""}",9
10307,"Tobacco, liquor investors may face tax hit as farmers' relief takes priority","{""Tobacco"": ""negative"", ""liquor"": ""negative""}",12
2525,Buy Zee Entertainment with a target of Rs 295: Ashwani Gujral,"{""Zee Entertainment"": ""positive""}",11
10343,"HDIL, LITL a BTST call: Sandeep Wagle, APTART Technical Advisory Services","{""HDIL"": ""positive"", ""LITL"": ""positive"", ""APTART Technical Advisory Services"": ""neutral""}",11
9871,Orchid Chemical can be sold with a target of 290: Ashwani Gujral,"{""Orchid Chemical"": ""negative""}",12
5375,US stocks hold near record levels,"{""US stocks"": ""neutral""}",6
3199,"TD Power to bag strong profits in the next 3 years: Girish Pai, Nirmal Bang Institutional Equities","{""TD Power"": ""positive"", ""Nirmal Bang Institutional Equities"": ""neutral""}",17
5718,Catamarans investment in SKS was to help poor,"{""Catamarans"": ""neutral"", ""SKS"": ""neutral""}",8
8223,"Sovereign gold bond scheme more likely to succeed, says Nomura report","{""gold bond"": ""positive""}",11
9794,You can sell Bank Nifty March Futures around 9950: Rajat Bose,"{""Bank Nifty"": ""negative""}",11
8863,Investments in infra stocks can wait: IL&FS,"{""IL&FS"": ""neutral""}",7
8666,"Blackstone believes in India blockbuster, to invest over $2 billion in India over the next 5-6 years","{""Blackstone"": ""positive""}",17
41,Western Coalfields CMD D C Garg passes away,"{""Western Coalfields"": ""neutral""}",8
9515,New Companies Act may hurt non-banking finance companies bond sales,"{""non-banking finance companies"": ""negative""}",10
6817,"Plan to list Syngene in August, use IPO proceeds for R&D: Kiran Mazumdar-Shaw","{""Syngene"": ""neutral""}",13
8294,"Continue to be positive on Titan, part of portfolio: Pankaj Pandey, ICICIdirect.com","{""Titan"": ""positive"", ""ICICIdirect.com"": ""neutral""}",12
8800,Bond yields edge down; profit-taking expected later,"{""Bond yields"": ""negative""}",7
2724,TV18 Broadcast Ltd Q4 net up two-fold at Rs 35.9 crore,"{""TV18 Broadcast Ltd"": ""positive""}",11
9884,"Rupee sees worst week in four months, closes at 59.10/11 per $","{""Rupee"": ""negative""}",12
9228,GMR Infrastructure hits year-low on Maldives civil court order,"{""GMR Infrastructure"": ""negative""}",9
10647,"Dollar, euro propped up by better economic data","{""Dollar"": ""positive"", ""euro"": ""positive""}",8
7156,Rouble continues gains as oil price firms,"{""Rouble"": ""positive"", ""oil"": ""positive""}",7
8290,"Clean chit to Halol plant, strategic buys key for Sun Pharma's future","{""Sun Pharma"": ""positive""}",12
9923,Vishal Retail Q4 loss widens by 12 pc to Rs 129 cr,"{""Vishal Retail"": ""negative""}",12
7231,"Can buy LIC Housing: Ashwani Gujral, Market Strategist","{""LIC Housing"": ""positive""}",8
5076,"Essar Oil, Essar Ports crack as promoters deny delisting plans","{""Essar Oil"": ""negative"", ""Essar Ports"": ""negative""}",10
7881,McNally Bharat posts 53% rise in Q3 rise net profit,"{""McNally Bharat"": ""positive""}",10
5395,Sebi to discuss commodity market norms,"{""Sebi"": ""neutral""}",6
9201,Commexe turnover drops by 59 per cent in April-August,"{""Commexe"": ""negative""}",9
7790,Educomp extends gain; stock up 10% on debt restructuring plans,"{""Educomp"": ""positive""}",10
10046,Hotel Leela Venture fails to pay quarterly interest on LIC loan; stock falls 6%,"{""Hotel Leela Venture"": ""negative"", ""LIC"": ""neutral""}",14
4089,Sun TV shares fall about 6% as earnings lag estimates,"{""Sun TV"": ""negative""}",10
1968,"Election results: Sebi, market entities up vigil on stocks","{""Sebi"": ""neutral""}",9
9675,Heavy selling leads to plunge in spot and future sugar prices,"{""sugar"": ""negative""}",11
9476,India bond yields edge lower at open on bargain buying,"{""India bond"": ""negative""}",10
10316,"Hong Kong, China shares fall after HSBC services PMI, property drags","{""Hong Kong"": ""negative"", ""China shares"": ""negative"", ""HSBC"": ""negative""}",11
7000,Diamond Power July-Sept net jumps 66%,"{""Diamond"": ""positive""}",6
424,Dhabriya Polywood lists on SME platform of BSE,"{""Dhabriya Polywood"": ""neutral"", ""BSE"": ""neutral""}",8
9230,Gold declines before Fed meeting as Ukraine crisis assessed,"{""Gold"": ""negative""}",9
6143,Rajdeep Endow is new Managing Director of Sapient India,"{""Sapient India"": ""neutral""}",9
5662,Unique identification number for hallmarked jewellery: BIS,"{""BIS"": ""neutral""}",7
4597,Punjab National Bank Q4 Net dips 29 per cent at Rs 806 crore,"{""Punjab National Bank"": ""negative""}",13
2660,"Persistent Systems rallies nearly 5%, hits 52-week high on expansion plans","{""Persistent System"": ""positive""}",11
142,Budget 2014 mustn't sell rupee short,"{""rupee"": ""neutral""}",6
2598,IDFs can extend schemes' tenure by up to 2 years: Sebi,"{""IDF"": ""neutral"", ""Sebi"": ""neutral""}",11
6702,Key support level for Nifty seen between 8000 and 8050: Mitesh Thacker,"{""Nifty"": ""neutral""}",12
1378,FTIL-NSEL merger dispute: Bombay High Court allows government to pass final order with riders,"{""FTIL"": ""neutral"", ""NSEL"": ""neutral""}",14
3675,Cairn India Q3 net drops 14% on forex losses,"{""Cairn India"": ""negative""}",9
10640,"Credit Suisse, Deutsche bank surprise with Yankee bonds","{""Credit Suisse"": ""neutral"", ""Deutsche bank"": ""neutral"", ""Yankee bonds"": ""neutral""}",8
6363,"Nitin Fire Protection Industries expects Rs 1,000-crore turnover this fiscal","{""Nitin Fire Protection Industries"": ""neutral""}",10
10073,"D-Street fears a volatility spike on uncertainty over Fed, heavy FPI selling and weak Rupee","{""Rupee"": ""negative""}",15
4742,"L&T, Bajaj Auto scrips may gain as their weight on MSCI India Index likely to increase","{""L&T"": ""positive"", ""Bajaj Auto"": ""positive"", ""MSCI India Index"": ""neutral""}",16
1139,National Stock Exchange issues new guidelines for furures and options segment,"{""National Stock Exchange"": ""neutral""}",11
7375,Sundaram Fasteners Q4 profit jump 67.4 per cent,"{""Sundaram Fasteners"": ""positive""}",8
1788,Dewan Housing a good portfolio pick: Avinnash Gorakssakar,"{""Dewan Housing"": ""positive""}",8
8655,Metals and mining companies will now have to operate more efficiently to generate profits: Pramod Gubbi,"{""Metals"": ""positive"", ""mining companies"": ""positive""}",16
4647,Most South East Asia stocks down ahead of US jobs data; Singapore worst performer,"{""South East Asia stocks"": ""negative"", ""Singapore"": ""negative""}",14
7569,Marico Q2 net up 27% to Rs 150.72 crore,"{""Marico"": ""positive""}",9
460,BSE Sensex rangebound; Nifty holds 7600 levels,"{""BSE Sensex"": ""neutral"", ""Nifty"": ""neutral""}",7
6116,NSE to auction limits in bonds for foreign investors,"{""NSE"": ""neutral""}",9
8180,Polishing image: Fixing of supply chain issues may rerate Bata India,"{""Bata India"": ""positive""}",11
949,"Pre-market: Nifty likely to open flat; may retest 6,500 levels","{""Nifty"": ""neutral""}",10
6371,Parabolic Drugs fixes IPO price at Rs 75 per share,"{""Parabolic Drugs"": ""neutral""}",10
4629,"CBI grills Jignesh Shah, founder of the FTIL group, files FIR in NSEL scam","{""FTIL"": ""negative"", ""NSEL"": ""negative""}",14
7359,Shares of Financial Technologies surge 10% on BSE,"{""Financial Technologies"": ""positive"", ""BSE"": ""neutral""}",8
5926,Syntel appoints Nitin Rakesh as CEO and President,"{""Syntel"": ""neutral""}",8
6041,Glenmark Pharma posts FY11 net at Rs 457.83 cr,"{""Glenmark Pharma"": ""neutral""}",9
442,Cipla appoints Adil Zainulbhai as an independent director,"{""Cipla"": ""neutral""}",8
6660,Coming weeks may see Nifty hovering in a narrow range: Ashwani Gujral,"{""Nifty"": ""neutral""}",12
3831,"Rupee hits over 9-mth low, RBI seen capping fall","{""Rupee"": ""negative"", ""RBI"": ""neutral""}",9
10107,Strides Arcolab may see some more downside if the Mylan deal does not come through: Avinnash Gorakssakar,"{""Strides Arcolab"": ""negative""}",17
6145,"RBI buys bonds worth Rs 9,092.9 cr under OMO","{""RBI"": ""neutral""}",9
9741,Punj Lloyd shares slump nearly 14% after Q2 net loss widens,"{""Punj Lloyd"": ""negative""}",11
6345,"Mondelez International elevates Manu Anand, names new MD for India","{""Mondelez International"": ""neutral""}",10
1959,Den Networks surges over 8% on FII limit hike,"{""Den Networks"": ""positive""}",9
156,Religare's top four picks for 2014,"{""Religare"": ""neutral""}",6
4579,LIC offloads two per cent stake in Bharat Forge for Rs 151 crore,"{""Bharat Forge"": ""negative""}",13
1090,Hatson Agro registers net profit of Rs 13.89 crore in Q1,"{""Hatson Agro"": ""neutral""}",11
6050,"Hold JSW Steel, target price Rs 900: BNP Paribas","{""JSW Steel"": ""neutral"", ""BNP Paribas"": ""neutral""}",9
7951,S K Nationwide's profit soars 44.5% to Rs 33.09 cr,"{""S K Nationwide"": ""positive""}",10
1675,JHS Svendgaard Labs sales up 144.28%,"{""JHS Svendgaard Labs"": ""positive""}",6
6764,"With investors steering clear, infra bonds by banks may see early death","{""infra bonds"": ""neutral""}",12
9451,"Gold holds steady below $1,300 an ounce; investor interest muted","{""Gold"": ""negative""}",10
6417,Tata Power: Existing investors should participate in upcoming rights issues,"{""Tata Power"": ""neutral""}",10
2327,Little sign of election nerves as sterling hits 2-month high,"{""sterling"": ""positive""}",10
7097,Gold's intraday surge catches speculators off guard,"{""Gold"": ""positive""}",7
9243,"Infotech Enterprises Q2 net down 7%, revenues up 24%","{""Infotech Enterprises"": ""negative""}",9
8490,"IIFCL net profit up 47 per cent at Rs 1,000 crore in 2012-13","{""IIFCL"": ""positive""}",13
6451,Airtel hires IT expert Manish Prakash to head its enterprise unit,"{""Airtel"": ""neutral""}",11
1716,HDIL boosting the realty sector,"{""HDIL"": ""positive"", ""realty sector"": ""positive""}",5
3832,Rupee slips against US dollar as Iraq violence intensifies,"{""Rupee"": ""negative"", ""US dollar"": ""neutral""}",9
6300,HNIs buy Nifty-linked debentures worth Rs 200-300 crore every month,"{""Nifty"": ""neutral""}",10
3349,"Nifty can slip to 8,200 levels: Sandeep Wagle","{""Nifty"": ""negative""}",8
10240,"Sectoral churning likely; IT, pharma to outperform in weeks to come: Mitesh Thacker","{""IT"": ""positive"", ""pharma"": ""positive""}",13
588,Hero MotoCorp appoints Sanjay Jorapur as Chief HR Officer,"{""Hero MotoCorp"": ""neutral""}",9
10244,Textile space with stocks like Alok Industries and Arvind looks good: Deepak Mohoni,"{""Alok Industries"": ""positive"", ""Arvind"": ""positive""}",13
2991,IDFC Banks a good long-term bet even if it makes a slow start,"{""IDFC Bank"": ""positive""}",13
9985,Not a good idea to buy REI Agro for the long-term: Deepak Mohoni,"{""REI Agro"": ""negative""}",13
10289,"Nine blue-chip companies add Rs 1,14,806 cr in m-cap; ITC top gainer","{""ITC"": ""positive""}",12
10003,Shree Renuka Sugars slips 10% on fears of equity dilution after Wilmar deal,"{""Shree Renuka Sugars"": ""negative"", ""Wilmar"": ""neutral""}",13
265,"August 7, 2014: Mecklai Financial report on Rupee","{""Mecklai Financial"": ""neutral""}",8
8514,"Outlook for IT sector positive, pick IT names for long-term gains: Neeraj Deewan","{""IT sector"": ""positive""}",13
6789,"GM Infrastructure reshuffles its top deck, Kiran Grandhi to replace Rao as MD","{""GM Infrastructure"": ""neutral""}",13
9158,Apple shares slump ahead of September 9 iPhone launch,"{""Apple"": ""negative""}",9
3865,Sugar turns bitter for india mills as losses mount,"{""Sugar"": ""negative""}",9
6275,"First India bond ETF, bond index to launch in London","{""India"": ""neutral"", ""London"": ""neutral""}",10
10542,"European shares down, BNP Paribas slumps on possible fine","{""European shares"": ""positive"", ""BNP Paribas"": ""positive""}",9
3712,Egypt stock market plunges on reports of new taxes,"{""Egypt stock market"": ""negative""}",9
1530,"Cost cuts, reworked deals boost Siemens margins","{""Siemens"": ""positive""}",7
8846,"Growth worries grip stock markets, crude oil","{""stock"": ""negative""}",7
924,"Nifty can hit 12,000 in five years, says Raamdeo Agrawal","{""Nifty"": ""neutral""}",10
9653,Financial Technologies slips 20% after government  orders merger with NSEL,"{""Financial Technologies"": ""negative"", ""NSEL"": ""neutral""}",11
7330,"Polaris is a buy: Ashwani Gujral, Market Strategist","{""Polaris"": ""positive""}",8
4365,"ACC unlikely to run up in a hurry: Ashwani Gujral, Market Strategist","{""ACC"": ""negative""}",12
670,Pre-market: Nifty seen opening flat; mat retest 8100 levels,"{""Nifty"": ""neutral""}",9
3605,Cautious on ABB: Gaurav Mehta,"{""ABB"": ""negative""}",5
5109,"Prefer ICICI, SBI, IndusInd Bank from long-term perspective: Dipan Mehta","{""ICICI"": ""positive"", ""SBI"": ""positive"", ""IndusInd Bank"": ""positive""}",10
5249,"Europe stocks steady, euro hostage to ECB decision","{""euro"": ""negative"", ""Europe stocks"": ""neutral""}",8
7184,V-Guard Q4 profit soars 129% on cost-cutting,"{""V-Guard"": ""positive""}",7
2592,Highway developers party on dull Dalal Street; stocks have more upside,"{""Highway developers"": ""positive""}",11
5907,"SEBI to replace listing regulations, tighten trading rules","{""SEBI"": ""neutral""}",8
6510,Global happenings likely to affect markets in the short-term: Prateek Agarwal,"{""markets"": ""neutral""}",11
7134,NBFCs may outperform strong banks: BP Singh,"{""NBFC"": ""positive"", ""strong banks"": ""negative""}",7
2308,JK Paper mulls pulp mill in South Asia; stock up,"{""JK Paper"": ""positive""}",10
3691,Crompton Greaves dips on worries over likely Q3 loss,"{""Crompton Greaves"": ""negative""}",9
688,"Religare Capital Markets appoints head of institutional equities, India","{""Religare Capital Markets"": ""neutral""}",9
613,"Larger companies reverse trend, beat SMEs in Q3 results","{""Larger companies"": ""positive"", ""SMEs"": ""negative""}",9
7168,SRF ends FY15 with 86% profit growth,"{""SRF"": ""positive""}",7
8523,Sanghvi Movers a turnaround story; IFB Inds to see festive boost: Kunj Bansal,"{""Sanghvi Movers"": ""positive""}",13
3201,"Augmentation of revenues for food security bill needs to be watched out for: Manish Sonthalia, Motilal Oswal Securities","{""Motilal Oswal Securities"": ""neutral""}",18
6630,Unwinding of longs key feature of the stock market in June,"{""stock market"": ""neutral""}",11
4136,"Ambit Capital sees 25% downside in L&T, advises investors to 'sell'","{""L&T"": ""negative"", ""Ambit Capital"": ""neutral""}",11
